question,answer,question_clean
How do I return my product?,You can initiate a return from your Orders page within 7 days of delivery.,how do i return my product
Where is my order?,Your order is on the way and will arrive within the estimated delivery date.,where is my order
How long does delivery take?,Standard delivery takes 3-5 business days.,how long does delivery take
How can I contact support?,You can contact our support team via the Help section in your account.,how can i contact support
How do I cancel an order?,"To cancel, go to your Orders page and select the Cancel option.",how do i cancel an order
When will I get my refund?,Refunds are processed within 5-7 business days after we receive your return.,when will i get my refund
Can I change my delivery address?,Address changes can be made before the order is shipped.,can i change my delivery address
Why was my order delayed?,Delays can happen due to high demand or logistics issues.,why was my order delayed
Do you ship internationally?,"Yes, we ship to selected international locations.",do you ship internationally
How do I track my order?,Use the tracking link sent to your email or check the Orders page.,how do i track my order
What payment methods do you accept?,"We accept credit/debit cards, UPI, and net banking.",what payment methods do you accept
Can I exchange an item?,"Yes, you can exchange eligible items from the Orders page.",can i exchange an item
What is your return policy?,Items can be returned within 7 days in original condition.,what is your return policy
I received a damaged product.,We're sorry! Please raise a return request with photo proof.,i received a damaged product
My order is marked delivered but I didn’t receive it.,Please check with neighbors or contact support.,my order is marked delivered but i didnt receive it
How do I update my profile?,Go to Account Settings > Edit Profile.,how do i update my profile
Do you offer COD (Cash on Delivery)?,"Yes, COD is available for select pin codes.",do you offer cod cash on delivery
How can I apply a coupon?,Apply the coupon at checkout before completing payment.,how can i apply a coupon
Why was my payment declined?,Please check with your bank or try another payment method.,why was my payment declined
Do you offer gift wrapping?,"Yes, you can select gift wrap at checkout.",do you offer gift wrapping
Can i return my item?,You can initiate a return from your Orders page.,can i return my item
Can i cancel my subscription?,You can manage subscriptions under Account > Subscriptions.,can i cancel my subscription
Can i get an invoice?,Invoices can be downloaded from the Orders section.,can i get an invoice
Can i change my phone number?,Go to Profile Settings > Phone to update your number.,can i change my phone number
Can i add a new address?,Use the Address Book in your profile to add a new address.,can i add a new address
Can i track my shipment?,Use the tracking link from your email or Orders page.,can i track my shipment
Can i report a missing item?,Please contact support with your order ID and photo proof.,can i report a missing item
Can i reset my password?,Use the 'Forgot Password' link on the login page.,can i reset my password
Can i reactivate my account?,Please reach out to support to reactivate your account.,can i reactivate my account
Can i check refund status?,Refunds can be tracked under the Payments > Refunds tab.,can i check refund status
Can i edit my payment method?,Go to Wallet > Payment Methods to make changes.,can i edit my payment method
Can i view my order history?,Your Orders page shows all past purchases.,can i view my order history
Can i subscribe to offers?,Enable promotional notifications in Settings.,can i subscribe to offers
Can i unsubscribe from emails?,Click 'Unsubscribe' at the bottom of any promotional email.,can i unsubscribe from emails
